sensor,sequence,start_frame_index,frame_paths,movement,movement_steps,fx,fy,fz
digit,movement,0,movement/digit/images/center_step_000.png|movement/digit/images/center_step_002.png|movement/digit/images/center_step_004.png|movement/digit/images/center_step_006.png,center,0|2|4|6,0.058754837876032195,0.005181126101277425,-1.3454944115243583
digit,movement,1,movement/digit/images/center_step_001.png|movement/digit/images/center_step_003.png|movement/digit/images/center_step_005.png|movement/digit/images/center_step_007.png,center,1|3|5|7,0.0937893560984914,-0.0016451225411261428,-1.7111549981029675
digit,movement,2,movement/digit/images/center_step_002.png|movement/digit/images/center_step_004.png|movement/digit/images/center_step_006.png|movement/digit/images/center_step_008.png,center,2|4|6|8,0.12911875985748034,0.023008173729353987,-2.0710115738560324
digit,movement,3,movement/digit/images/center_step_003.png|movement/digit/images/center_step_005.png|movement/digit/images/center_step_007.png|movement/digit/images/center_step_009.png,center,3|5|7|9,0.1273716830709992,0.047614719676808304,-2.2562182344019934
digit,movement,4,movement/digit/images/center_step_004.png|movement/digit/images/center_step_006.png|movement/digit/images/center_step_008.png|movement/digit/images/center_step_010.png,center,4|6|8|10,0.12727090657307166,0.04709416477037043,-2.3873014009537687
digit,movement,5,movement/digit/images/center_step_005.png|movement/digit/images/center_step_007.png|movement/digit/images/center_step_009.png|movement/digit/images/center_step_011.png,center,5|7|9|11,0.11985178483425704,0.043053982664265744,-2.536864636148441
digit,movement,6,movement/digit/images/center_step_006.png|movement/digit/images/center_step_008.png|movement/digit/images/center_step_010.png|movement/digit/images/center_step_012.png,center,6|8|10|12,0.11525647633200214,0.040092888281761024,-2.6727848096829745
digit,movement,7,movement/digit/images/center_step_007.png|movement/digit/images/center_step_009.png|movement/digit/images/center_step_011.png|movement/digit/images/center_step_013.png,center,7|9|11|13,0.10891931449446113,0.053384529690719995,-2.8217293795731004
digit,movement,8,movement/digit/images/center_step_008.png|movement/digit/images/center_step_010.png|movement/digit/images/center_step_012.png|movement/digit/images/center_step_014.png,center,8|10|12|14,0.09428794855025649,0.04754901193165546,-2.973780826757373
digit,movement,9,movement/digit/images/center_step_009.png|movement/digit/images/center_step_011.png|movement/digit/images/center_step_013.png|movement/digit/images/center_step_015.png,center,9|11|13|15,0.0939380930520119,0.058331330583023394,-3.095163948236967
digit,movement,10,movement/digit/images/center_step_010.png|movement/digit/images/center_step_012.png|movement/digit/images/center_step_014.png|movement/digit/images/center_step_016.png,center,10|12|14|16,0.08429393077761446,0.05068377272344479,-3.2428753086626965
digit,movement,11,movement/digit/images/center_step_011.png|movement/digit/images/center_step_013.png|movement/digit/images/center_step_015.png|movement/digit/images/center_step_017.png,center,11|13|15|17,0.07103612647581053,0.05958547629462643,-3.377017863906264
digit,movement,12,movement/digit/images/center_step_012.png|movement/digit/images/center_step_014.png|movement/digit/images/center_step_016.png|movement/digit/images/center_step_018.png,center,12|14|16|18,0.06493356197031261,0.055336339949121544,-3.5241526526174676
digit,movement,13,movement/digit/images/center_step_013.png|movement/digit/images/center_step_015.png|movement/digit/images/center_step_017.png|movement/digit/images/center_step_019.png,center,13|15|17|19,0.05308604776410425,0.05652727726037776,-3.661063110955189
digit,movement,14,movement/digit/images/center_step_014.png|movement/digit/images/center_step_016.png|movement/digit/images/center_step_018.png|movement/digit/images/center_step_020.png,center,14|16|18|20,0.05207131476071741,0.054244046499130644,-3.820791435100848
digit,movement,15,movement/digit/images/center_step_015.png|movement/digit/images/center_step_017.png|movement/digit/images/center_step_019.png|movement/digit/images/center_step_021.png,center,15|17|19|21,0.03531719121637504,0.05107902568415498,-3.9475390679049096
digit,movement,16,movement/digit/images/center_step_016.png|movement/digit/images/center_step_018.png|movement/digit/images/center_step_020.png|movement/digit/images/center_step_022.png,center,16|18|20|22,0.01973512418531055,0.057129171854769706,-4.122219663101972
digit,movement,17,movement/digit/images/center_step_017.png|movement/digit/images/center_step_019.png|movement/digit/images/center_step_021.png|movement/digit/images/center_step_023.png,center,17|19|21|23,0.020351109006348372,0.04454578008411249,-4.234569392032021
digit,movement,18,movement/digit/images/center_step_018.png|movement/digit/images/center_step_020.png|movement/digit/images/center_step_022.png|movement/digit/images/center_step_024.png,center,18|20|22|24,0.0032431232250282743,0.05500154477932728,-4.396892725976613
digit,movement,19,movement/digit/images/center_step_019.png|movement/digit/images/center_step_021.png|movement/digit/images/center_step_023.png|movement/digit/images/center_step_025.png,center,19|21|23|25,0.002797467825711386,0.04679724893027015,-4.538324539518302
digit,movement,20,movement/digit/images/center_step_020.png|movement/digit/images/center_step_022.png|movement/digit/images/center_step_024.png|movement/digit/images/center_step_026.png,center,20|22|24|26,-0.005355394350518128,0.05259254429061963,-4.669330824901124
digit,movement,21,movement/digit/images/center_step_021.png|movement/digit/images/center_step_023.png|movement/digit/images/center_step_025.png|movement/digit/images/center_step_027.png,center,21|23|25|27,-0.03085591652953612,0.04126922139358555,-4.831103621814731
digit,movement,22,movement/digit/images/center_step_022.png|movement/digit/images/center_step_024.png|movement/digit/images/center_step_026.png|movement/digit/images/center_step_028.png,center,22|24|26|28,-0.026645897384104486,0.05114328752987968,-4.946528463827483
digit,movement,23,movement/digit/images/center_step_023.png|movement/digit/images/center_step_025.png|movement/digit/images/center_step_027.png|movement/digit/images/center_step_029.png,center,23|25|27|29,-0.04740096158847579,0.05417619463519527,-5.091027981822345
digit,movement,24,movement/digit/images/center_step_024.png|movement/digit/images/center_step_026.png|movement/digit/images/center_step_028.png|movement/digit/images/center_step_030.png,center,24|26|28|30,-0.06220926834432402,0.0496348175938304,-5.24167763582433
digit,movement,25,movement/digit/images/center_step_025.png|movement/digit/images/center_step_027.png|movement/digit/images/center_step_029.png|movement/digit/images/center_step_031.png,center,25|27|29|31,-0.06227247084512724,0.05158985809601718,-5.391762934104212
digit,movement,26,movement/digit/images/center_step_026.png|movement/digit/images/center_step_028.png|movement/digit/images/center_step_030.png|movement/digit/images/center_step_032.png,center,26|28|30|32,-0.077947949848907,0.04772351168137923,-5.527304750065573
digit,movement,27,movement/digit/images/center_step_027.png|movement/digit/images/center_step_029.png|movement/digit/images/center_step_031.png|movement/digit/images/center_step_033.png,center,27|29|31|33,-0.08095059836424141,0.049366822723912906,-5.677982322837917
digit,movement,28,movement/digit/images/center_step_028.png|movement/digit/images/center_step_030.png|movement/digit/images/center_step_032.png|movement/digit/images/center_step_034.png,center,28|30|32|34,-0.10591066213283233,0.0449045990348409,-5.791004960371931
digit,movement,29,movement/digit/images/center_step_029.png|movement/digit/images/center_step_031.png|movement/digit/images/center_step_033.png|movement/digit/images/center_step_035.png,center,29|31|33|35,-0.12277188769386008,0.048978338750994235,-5.963469207167235
digit,movement,30,movement/digit/images/center_step_030.png|movement/digit/images/center_step_032.png|movement/digit/images/center_step_034.png|movement/digit/images/center_step_036.png,center,30|32|34|36,-0.11577195620157998,0.0466709220358216,-6.103058478572589
digit,movement,31,movement/digit/images/center_step_031.png|movement/digit/images/center_step_033.png|movement/digit/images/center_step_035.png|movement/digit/images/center_step_037.png,center,31|33|35|37,-0.1335259502037873,0.04899462282461045,-6.238941681354777
digit,movement,32,movement/digit/images/center_step_032.png|movement/digit/images/center_step_034.png|movement/digit/images/center_step_036.png|movement/digit/images/center_step_038.png,center,32|34|36|38,-0.1368137644480947,0.05034751385537031,-6.3814664245688055
digit,movement,33,movement/digit/images/center_step_033.png|movement/digit/images/center_step_035.png|movement/digit/images/center_step_037.png|movement/digit/images/center_step_039.png,center,33|35|37|39,-0.1533879455294726,0.04097472580182748,-6.525219351352098
digit,movement,34,movement/digit/images/center_step_034.png|movement/digit/images/center_step_036.png|movement/digit/images/center_step_038.png|movement/digit/images/center_step_040.png,center,34|36|38|40,-0.17046904036379687,0.04895196421650165,-6.673644462485062
digit,movement,35,movement/digit/images/center_step_035.png|movement/digit/images/center_step_037.png|movement/digit/images/center_step_039.png|movement/digit/images/center_step_041.png,center,35|37|39|41,-0.1767543799816615,0.045756307153864154,-6.804051343197149
digit,movement,36,movement/digit/images/center_step_036.png|movement/digit/images/center_step_038.png|movement/digit/images/center_step_040.png|movement/digit/images/center_step_042.png,center,36|38|40|42,-0.1908000276482657,0.05299242763702053,-6.953608614201987
