sensor,sequence,start_frame_index,frame_paths,movement,movement_steps,fx,fy,fz
digit,movement_center_step_14,0,movement/digit/images/center_step_014.png|movement/digit/images/center_step_014.png|movement/digit/images/center_step_014.png|movement/digit/images/center_step_014.png,center,14,0.09428794855025649,0.04754901193165546,-2.973780826757373
digit,movement_right_step_14,0,movement/digit/images/right_step_014.png|movement/digit/images/right_step_014.png|movement/digit/images/right_step_014.png|movement/digit/images/right_step_014.png,right,14,0.17855469463944196,0.1436125989559226,-2.4777941312915805
digit,movement_left_step_14,0,movement/digit/images/left_step_014.png|movement/digit/images/left_step_014.png|movement/digit/images/left_step_014.png|movement/digit/images/left_step_014.png,left,14,0.1094229566756082,-0.0062338472881215135,-2.652754551244692
digit,movement_down_step_14,0,movement/digit/images/down_step_014.png|movement/digit/images/down_step_014.png|movement/digit/images/down_step_014.png|movement/digit/images/down_step_014.png,down,14,0.062280339045487576,0.1207102506033748,-2.5810330177682643
digit,movement_up_step_14,0,movement/digit/images/up_step_014.png|movement/digit/images/up_step_014.png|movement/digit/images/up_step_014.png|movement/digit/images/up_step_014.png,up,14,0.19070255130578187,0.03611487979850464,-2.824707151116515
gelsight,movement_center_step_14,0,movement/gelsight/images/center_step_014.png|movement/gelsight/images/center_step_014.png|movement/gelsight/images/center_step_014.png|movement/gelsight/images/center_step_014.png,center,14,-0.039111020873358576,0.03778369239516237,-2.4736084754939185
gelsight,movement_right_step_14,0,movement/gelsight/images/right_step_014.png|movement/gelsight/images/right_step_014.png|movement/gelsight/images/right_step_014.png|movement/gelsight/images/right_step_014.png,right,14,0.06515929894550784,0.10090455475983971,-2.074450055485718
gelsight,movement_left_step_14,0,movement/gelsight/images/left_step_014.png|movement/gelsight/images/left_step_014.png|movement/gelsight/images/left_step_014.png|movement/gelsight/images/left_step_014.png,left,14,-0.022050088093578724,-0.03167111876486184,-2.4059823294836837
gelsight,movement_down_step_14,0,movement/gelsight/images/down_step_014.png|movement/gelsight/images/down_step_014.png|movement/gelsight/images/down_step_014.png|movement/gelsight/images/down_step_014.png,down,14,-0.017945297406530416,0.09618123792464522,-1.8728269130338153
gelsight,movement_up_step_14,0,movement/gelsight/images/up_step_014.png|movement/gelsight/images/up_step_014.png|movement/gelsight/images/up_step_014.png|movement/gelsight/images/up_step_014.png,up,14,0.06033333145728681,0.01107489968101616,-2.682888219909704
